id,severity,confidence,domain,module,category,evidence_type,summary,impact,recommendation,code_refs
F001,Critical,High,Mission profiles,MissionProfile,Defect,Static and numerical,"System mission reliability treats FPMH as failures/hour, omitting the 1e-6 conversion used correctly for each part.","A representative 0.02881996 FPMH part is reported as 34.7 h MTBF and R(1000)=0 instead of about 34.7 million h and 0.99997118.","Convert the summed rate to failures/hour before MTBF and reliability calculations; add dimensional-analysis and worked-example tests.","src/reliability/MissionProfile.py:247; src/reliability/MissionProfile.py:310; tests/test_mission_profile.py:374"
F002,Critical,High,Reliability testing,Reliability_testing,Defect,Numerical,"The demonstration planner searches upward from zero failures even though the MTBF lower bound decreases as failures increase.","For MTBF=500, T=10000 and 90% confidence it returns zero allowable failures; the largest passing count is 13.","Solve the monotone integer inequality for the maximum allowable failures with a bounded binary search or descending check; test boundary pass and fail counts.","src/reliability/Reliability_testing.py:340"
F003,Critical,High,Fault trees,FaultTree router,Defect,Static and numerical,"The method named exact silently switches to the independent-minimal-cut upper bound when more than 20 cut sets exist.","For 21 cut sets sharing event A, the result is 0.190272 versus the analytic exact 0.089058, a 2.14x overstatement.","Return a distinct bounded/approximate method status or implement an exact BDD/ZBDD evaluator; never populate the exact field with a bound.","gui/backend/routers/fault_tree.py:270"
F004,Critical,High,Accelerated testing,ALT step stress,Defect,Static and numerical,"Step-stress equivalent time accelerates only the current step and leaves all prior exposure at raw clock time.","For stress steps 1/2/4 and p=2, failures at 21 and 25 are mapped to 36 and 100 instead of cumulative-exposure values 66 and 130.","Implement cumulative exposure as the sum of every completed step duration times its acceleration factor plus accelerated time in the active step; validate against published worked examples.","gui/backend/routers/alt.py:1113"
F005,Critical,High,Degradation,ALT degradation,Defect,Static,"Projected confidence bounds are represented as one failure at the upper bound plus a second right-censored observation at the lower bound.","This doubles every unit and uses f(upper)S(lower), not the interval-censored likelihood F(upper)-F(lower); non-crossing units are dropped.","Add true interval-censored likelihood support and explicit censoring for non-crossing units, or keep projection uncertainty separate from the life distribution fit.","gui/backend/routers/alt.py:839"
F006,High,High,Mission profiles,MissionProfile,Failure handling,Static,"Part-construction TypeError and ValueError exceptions are converted to a zero failure rate.","Invalid or unsupported inputs can make a part appear perfectly reliable and reduce the system estimate without a visible error.","Fail closed with a structured per-part error; only allow explicit user-approved exclusion and retain an audit trail.","src/reliability/MissionProfile.py:220"
F007,High,High,Life-data fitting,Utils and Fitters,Defect,Static and numerical,"AICc falls back to ordinary AIC when n-k-1 is nonpositive.","Undefined small-sample comparisons can favor over-parameterized models, including mixture fits with fewer observations than the correction requires.","Return infinity/undefined when n<=k+1; surface model ineligibility and use bootstrap predictive criteria or BIC only with clear assumptions.","src/reliability/Utils.py:88"
F008,High,High,Distributions,Distributions,Numerical stability,Numerical,"Generic hazard and cumulative-hazard calculations divide underflowed PDF by clipped survival and cap -log(S) near 690.8.","Weibull(eta=1,beta=2) reports hazard zero at t=30 and 100 instead of 60 and 200, and cumulative hazard 690.8 instead of 900 and 10000.","Implement distribution-specific logpdf/logsf and analytic hazard/cumulative hazard; add extreme-tail identity tests.","src/reliability/Distributions.py:18"
F009,High,High,Model fitting,Fitters and ALT_fitters,Algorithm control,Static,"Several nonlinear fits consume optimizer parameters without requiring OptimizeResult.success, finite gradients or acceptable termination.","Failed, boundary or non-identifiable fits can be returned as ordinary estimates and ranked against valid fits.","Centralize fit diagnostics; require successful termination, finite objective/gradient and boundary checks, with multi-start or alternative solvers where appropriate.","src/reliability/Fitters.py; src/reliability/ALT_fitters.py"
F010,High,High,Model fitting,Fitters,Numerical stability,Static,"Likelihood contributions are often clipped near 1e-300 instead of evaluated with logpdf and logsf.","Clipping creates flat artificial likelihood tails, distorts optimization and masks impossible observations.","Use distribution log-domain functions and log-sum-exp identities throughout; record any remaining numerical floor as a diagnostic.","src/reliability/Fitters.py"
F011,High,Medium,Model fitting,Fitters and Special_models,Uncertainty,Static and research,"Observed-Fisher finite-difference Hessians and symmetric Wald/delta intervals are the main uncertainty mechanism, including near bounds and in mixture models.","Coverage can be poor or intervals impossible for small, censored, skewed, boundary or weakly identified problems.","Add profile-likelihood intervals for scalar reliability targets and parametric/bootstrap intervals; retain Wald intervals as a fast flagged approximation.","src/reliability/Fitters.py; src/reliability/Special_models.py"
F012,High,High,Goodness of fit,Reliability_testing,Defect,Static and research,"The KS p-value and critical value are computed as though fitted distribution parameters were specified before seeing the data.","The nominal test is not calibrated after parameter estimation and may overstate fit adequacy.","Use a parametric bootstrap that refits on every replicate, or distribution-specific corrected tests; state the null and fitting procedure.","src/reliability/Reliability_testing.py:493"
F013,High,High,Goodness of fit,Reliability_testing,Defect,Static,"The chi-square goodness-of-fit path permits very small samples and sparse expected bins, then forces degrees of freedom to at least one.","Asymptotic p-values are unreliable when expected counts are small and parameter-adjusted degrees of freedom are exhausted.","Merge bins to a documented expected-count threshold or use a refitted parametric bootstrap; reject tests with no residual degrees of freedom.","src/reliability/Reliability_testing.py:431"
