id,original_severity,status,residual_severity,confidence,domain,resolution,evidence,residual_or_limitation
F001,Critical,Resolved,,High,Mission profiles,"System roll-up now converts FPMH to failures/hour exactly once before MTBF and reliability calculations.","src/reliability/MissionProfile.py::compute_system_mission_rate; tests/test_mission_profile.py::test_system_mtbf_uses_fpmh_units; docs/audit/re-audit-probes.py","None reproduced."
F002,Critical,Resolved,,High,Reliability testing,"The planner brackets the monotone chi-square boundary and uses integer binary search for the maximum passing failure count.","src/reliability/Reliability_testing.py::reliability_test_planner; tests/test_reliability_testing_extras.py::test_reliability_test_planner_failure_boundary_is_maximum_passing; docs/audit/re-audit-probes.py","None reproduced."
F003,Critical,Resolved,,High,Fault trees,"Exact cut-set probability now uses a reduced Shannon BDD; the minimal-cut bound is separately named and a state-limit breach raises instead of changing methods.","src/reliability/FaultTree.py::exact_probability_from_cut_sets; tests/test_fault_tree_enhanced.py::test_exact_method_remains_exact_beyond_twenty_shared_cut_sets; docs/audit/re-audit-probes.py","Exact evaluation remains subject to an explicit state limit."
F004,Critical,Resolved,,High,Accelerated testing,"Step-stress equivalent time sums accelerated exposure from every completed step and validates the active stress interval.","gui/backend/routers/alt.py::step_stress; tests/test_alt_step_stress.py::test_prior_steps_are_accelerated_in_cumulative_exposure; docs/audit/re-audit-probes.py","None reproduced."
F005,Critical,Resolved,,High,Degradation,"The likelihood now uses one contribution per unit: true F(U)-F(L) terms only for observed inspection crossings, projected crossings as point inputs, and S(C) for non-crossing units. Delta-method projection intervals are separately labeled display-only uncertainty.","gui/backend/routers/alt.py::degradation; tests/test_alt_degradation_intervals.py::test_degradation_uses_one_likelihood_term_per_unit_and_retains_censoring; docs/audit/re-audit-probes.py","Projection intervals remain first-order delta-method diagnostics rather than a hierarchical measurement-error model; that scope is explicit and does not alter censoring likelihood."
F006,High,Resolved,,High,Mission profiles,"Part-construction failures now raise MissionCalculationError with part, phase, class, and original exception context.","src/reliability/MissionProfile.py::MissionCalculationError; tests/test_mission_profile.py::test_invalid_part_fails_closed_with_structured_context; docs/audit/re-audit-probes.py","None reproduced."
F007,High,Resolved,,High,Life-data fitting,"Undefined AICc returns infinity and makes the candidate ineligible for AICc ranking.","src/reliability/Utils.py::AICc; tests/test_utils.py::test_aicc_is_ineligible_when_small_sample_correction_is_undefined; docs/audit/re-audit-probes.py","BIC and predictive validation retain their own assumptions."
F008,High,Resolved,,High,Distributions,"Hazard and cumulative hazard use log-PDF/log-survival evaluation, preserving extreme-tail identities.","src/reliability/Distributions.py::_hf; tests/test_distributions.py::test_weibull_extreme_tail_hazard_and_chf_are_not_clipped; docs/audit/re-audit-probes.py","None reproduced for implemented distributions."
F009,High,Resolved,,High,Model fitting,"Shared diagnostics require optimizer success, finite parameters/objective/gradient, acceptable projected gradient, and expose boundary contact before fit eligibility. ALT invalid regions now use an excluded finite penalty so Powell interpolation never performs infinity arithmetic.","src/reliability/Utils.py::optimizer_result_diagnostics; src/reliability/Fitters.py; src/reliability/ALT_fitters.py::_ALT_INVALID_NLL; tests/test_utils.py::test_optimizer_diagnostics_require_success_and_report_boundary_contact; tests/test_alt_fitters.py","Warning-as-error ALT fitter and parametric-bootstrap tests pass; no optimizer RuntimeWarning remains in the validated suite."
F010,High,Resolved,,High,Model fitting,"Standard and ALT likelihoods now use distribution logpdf/logsf contributions rather than probability floors.","src/reliability/Utils.py::negative_log_likelihood; src/reliability/Fitters.py; src/reliability/ALT_fitters.py; tests/test_utils.py::test_negative_log_likelihood_preserves_extreme_tail_contributions","Clipping remains only in plotting or delta-transform guardrails, not the audited likelihood paths."
F011,High,Resolved,,High,Model fitting,"Scalar profile-likelihood and refitted parametric-bootstrap intervals are available; mixture and competing-risk reliability can use refitted bootstrap intervals; Wald output is labeled approximate.","src/reliability/Uncertainty.py; tests/test_uncertainty_engines.py; docs/audit/uncertainty-validation.md","Published seeded coverage is a 50-replicate regular complete-sample smoke study, not broad coverage certification."
F012,High,Resolved,,High,Goodness of fit,"KS inference uses a parametric bootstrap that refits the model on every successful replicate and reports calibration details.","src/reliability/Reliability_testing.py::KS_test; tests/test_reliability_testing_extras.py::test_ks_bootstrap_refits_every_replicate","Bootstrap validity remains conditional on the fitted family and simulation design."
F013,High,Resolved,,High,Goodness of fit,"Chi-square bins are merged to the expected-count threshold, inference is declined without residual degrees of freedom, and p-values use refitted bootstrap calibration.","src/reliability/Reliability_testing.py::chi_squared_test; tests/test_reliability_testing_extras.py::test_chi_squared_merges_sparse_bins_and_preserves_residual_df","None reproduced."
F014,High,Resolved,,High,Reliability allocation,"AGREE weights are normalized after complexity/importance weighting so the series allocation conserves the target.","src/reliability/Allocation.py::allocate; tests/test_allocation.py::test_agree_unequal_importance_conserves_target_and_relative_weighting; docs/audit/re-audit-probes.py","The implementation documents its target-conserving interpretation of AGREE weighting."
F015,High,Resolved,,High,System reliability,"RBD importance now reports failure criticality using component and system unreliability, with textbook Birnbaum, RAW, and RRW checks.","gui/backend/routers/system_reliability.py::compute_rbd; gui/backend/tests/test_hardening.py::test_rbd_series_importance_uses_failure_probability_semantics; docs/audit/re-audit-probes.py","None reproduced."
